campus_name,route_id,stop_count
School of Labor and Urban Studies,QM15,1
School of Labor and Urban Studies,QM16,1
School of Labor and Urban Studies,QM17,1
School of Labor and Urban Studies,QM18,1
School of Labor and Urban Studies,QM2,2
School of Labor and Urban Studies,QM20,2
School of Labor and Urban Studies,QM21,1
School of Labor and Urban Studies,QM24,1
School of Labor and Urban Studies,QM4,3
School of Labor and Urban Studies,QM5,2
School of Labor and Urban Studies,QM6,2
School of Labor and Urban Studies,SIM10,2
School of Labor and Urban Studies,SIM1C,3
School of Labor and Urban Studies,SIM22,8
School of Labor and Urban Studies,SIM23,5
School of Labor and Urban Studies,SIM24,5
School of Labor and Urban Studies,SIM25,9
School of Labor and Urban Studies,SIM26,8
School of Labor and Urban Studies,SIM3,3
School of Labor and Urban Studies,SIM30,9
School of Labor and Urban Studies,SIM31,1
School of Labor and Urban Studies,SIM33C,2
School of Labor and Urban Studies,SIM3C,3
School of Labor and Urban Studies,SIM4C,2
School of Labor and Urban Studies,SIM8,9
School of Labor and Urban Studies,X27,3
School of Labor and Urban Studies,X28,3
School of Labor and Urban Studies,X37,3
School of Labor and Urban Studies,X38,3
School of Law,B32,2
School of Law,B62,2
School of Law,Q101,6
School of Law,Q102,2
School of Law,Q103,2
School of Law,Q39,2
School of Law,Q63,2
School of Law,Q67,6
School of Medicine,BX33,2
School of Medicine,M10,1
School of Medicine,M100,8
School of Medicine,M101,11
School of Medicine,M11,2
School of Medicine,M3,7
School of Professional Studies,BM1,1
School of Professional Studies,BM2,1
School of Professional Studies,BM3,1
School of Professional Studies,BM4,1
School of Professional Studies,BXM2,3
School of Professional Studies,BXM3,1
School of Professional Studies,BXM4,1
School of Professional Studies,M1,2
School of Professional Studies,M2,2
School of Professional Studies,M20,4
School of Professional Studies,M3,2
School of Professional Studies,M34+,7
School of Professional Studies,M34A+,7
School of Professional Studies,M5,6
School of Professional Studies,M55,7
School of Professional Studies,M7,9
School of Professional Studies,Q32,3
School of Professional Studies,QM1,1
School of Professional Studies,QM10,2
School of Professional Studies,QM12,2
School of Professional Studies,QM15,2
School of Professional Studies,QM16,2
School of Professional Studies,QM17,2
School of Professional Studies,QM18,2
School of Professional Studies,QM2,2
School of Professional Studies,QM20,2
School of Professional Studies,QM24,2
School of Professional Studies,QM4,1
School of Professional Studies,QM5,1
School of Professional Studies,QM6,1
School of Professional Studies,SIM10,2
School of Professional Studies,SIM1C,3
School of Professional Studies,SIM23,7
School of Professional Studies,SIM24,7
School of Professional Studies,SIM3,3
School of Professional Studies,SIM33C,1
School of Professional Studies,SIM3C,3
School of Professional Studies,SIM4C,1
School of Public Health,BXM2,2
School of Public Health,BXM3,2
School of Public Health,BXM4,2
School of Public Health,M1,6
School of Public Health,M101,6
School of Public Health,M102,8
School of Public Health,M125,6
School of Public Health,M2,1
School of Public Health,M60+,2
School of Public Health,M7,8
The City College of New York,BX33,2
The City College of New York,M10,1
The City College of New York,M100,8
The City College of New York,M101,11
The City College of New York,M11,2
The City College of New York,M3,7
The Graduate School and University Center,BM1,5
The Graduate School and University Center,BM2,5
The Graduate School and University Center,BM3,5
The Graduate School and University Center,BM4,5
The Graduate School and University Center,BM5,11
The Graduate School and University Center,BXM10,3
The Graduate School and University Center,BXM11,5
The Graduate School and University Center,BXM18,2
The Graduate School and University Center,BXM2,1
The Graduate School and University Center,BXM3,3
The Graduate School and University Center,BXM4,3
The Graduate School and University Center,BXM6,2
The Graduate School and University Center,BXM7,2
The Graduate School and University Center,BXM8,2
The Graduate School and University Center,BXM9,3
The Graduate School and University Center,M1,10
The Graduate School and University Center,M2,10
The Graduate School and University Center,M3,12
The Graduate School and University Center,M34+,10
The Graduate School and University Center,M34A+,10
The Graduate School and University Center,M4,11
The Graduate School and University Center,M5,7
The Graduate School and University Center,M55,8
The Graduate School and University Center,M7,2
The Graduate School and University Center,Q32,6
The Graduate School and University Center,QM1,3
The Graduate School and University Center,QM10,4
The Graduate School and University Center,QM12,4
The Graduate School and University Center,QM15,3
The Graduate School and University Center,QM16,3
The Graduate School and University Center,QM17,3
The Graduate School and University Center,QM18,3
The Graduate School and University Center,QM2,3
The Graduate School and University Center,QM20,3
The Graduate School and University Center,QM21,2
The Graduate School and University Center,QM24,4
The Graduate School and University Center,QM4,3
The Graduate School and University Center,QM5,3
The Graduate School and University Center,QM6,3
The Graduate School and University Center,QM63,1
The Graduate School and University Center,QM64,1
The Graduate School and University Center,QM68,1
The Graduate School and University Center,SIM10,4
The Graduate School and University Center,SIM11,3
The Graduate School and University Center,SIM1C,3
The Graduate School and University Center,SIM23,10
The Graduate School and University Center,SIM24,10
The Graduate School and University Center,SIM3,3
The Graduate School and University Center,SIM31,5
The Graduate School and University Center,SIM33C,4
The Graduate School and University Center,SIM3C,3
The Graduate School and University Center,SIM4C,4
The Graduate School and University Center,SIM6,3
The Graduate School and University Center,X27,5
The Graduate School and University Center,X28,5
The Graduate School and University Center,X37,5
The Graduate School and University Center,X38,5
York College,Q06,4
York College,Q08,4
York College,Q09,2
York College,Q110,9
York College,Q111,4
York College,Q112,6
York College,Q113,4
York College,Q114,4
York College,Q115,6
York College,Q17,2
York College,Q20,9
York College,Q30,2
York College,Q31,2
York College,Q4,3
York College,Q41,5
York College,Q42,5
York College,Q44+,3
York College,Q5,4
York College,Q54,6
York College,Q56,10
York College,Q75,2
York College,Q83,3
York College,Q84,2
York College,Q85,4
York College,Q86,4
York College,Q87,4
York College,Q89,4
York College,QM64,1
