,campus_name,borough,route_id,stop_count,total_ridership
118,School of Labor and Urban Studies,Manhattan,QM6,2,167307
119,School of Labor and Urban Studies,Manhattan,SIM22,4,189516
120,School of Labor and Urban Studies,Manhattan,SIM23,3,92867
121,School of Labor and Urban Studies,Manhattan,SIM24,3,83788
122,School of Labor and Urban Studies,Manhattan,SIM25,7,200685
123,School of Labor and Urban Studies,Manhattan,SIM26,4,224142
124,School of Labor and Urban Studies,Manhattan,SIM30,6,163229
125,School of Labor and Urban Studies,Manhattan,SIM8,6,388314
126,School of Labor and Urban Studies,Manhattan,X27,1,489211
127,School of Labor and Urban Studies,Manhattan,X28,1,489047
128,School of Labor and Urban Studies,Manhattan,X37,1,225056
129,School of Labor and Urban Studies,Manhattan,X38,1,197299
130,School of Law,Queens,Q101,6,860725
131,School of Law,Queens,Q102,2,612958
132,School of Law,Queens,Q39,2,1081709
133,School of Law,Queens,Q63,2,566499
134,School of Law,Queens,Q67,6,564107
135,The Graduate School and University Center,Manhattan,BM1,3,258265
136,The Graduate School and University Center,Manhattan,BM2,3,216993
137,The Graduate School and University Center,Manhattan,BM3,3,187652
138,The Graduate School and University Center,Manhattan,BM4,3,131756
139,The Graduate School and University Center,Manhattan,BM5,8,198404
140,The Graduate School and University Center,Manhattan,BXM10,2,479548
141,The Graduate School and University Center,Manhattan,BXM11,3,324278
142,The Graduate School and University Center,Manhattan,BXM18,2,59742
143,The Graduate School and University Center,Manhattan,BXM3,2,221579
144,The Graduate School and University Center,Manhattan,BXM4,2,132194
145,The Graduate School and University Center,Manhattan,BXM6,2,218607
146,The Graduate School and University Center,Manhattan,BXM7,2,731993
147,The Graduate School and University Center,Manhattan,BXM8,2,471241
148,The Graduate School and University Center,Manhattan,BXM9,3,518579
149,The Graduate School and University Center,Manhattan,M1,5,2573060
150,The Graduate School and University Center,Manhattan,M2,5,2128389
151,The Graduate School and University Center,Manhattan,M3,7,2961938
152,The Graduate School and University Center,Manhattan,M34+,4,1507539
153,The Graduate School and University Center,Manhattan,M34A+,4,1485936
154,The Graduate School and University Center,Manhattan,M4,7,3580379
155,The Graduate School and University Center,Manhattan,M5,4,1731771
156,The Graduate School and University Center,Manhattan,M55,4,575794
157,The Graduate School and University Center,Manhattan,Q32,2,2408804
158,The Graduate School and University Center,Manhattan,QM1,2,57993
159,The Graduate School and University Center,Manhattan,QM10,2,47033
160,The Graduate School and University Center,Manhattan,QM12,2,56738
161,The Graduate School and University Center,Manhattan,QM15,3,445248
162,The Graduate School and University Center,Manhattan,QM16,3,110347
163,The Graduate School and University Center,Manhattan,QM17,3,121072
164,The Graduate School and University Center,Manhattan,QM18,3,39494
165,The Graduate School and University Center,Manhattan,QM2,2,260196
166,The Graduate School and University Center,Manhattan,QM20,2,204400
167,The Graduate School and University Center,Manhattan,QM21,1,34590
168,The Graduate School and University Center,Manhattan,QM24,2,131152
169,The Graduate School and University Center,Manhattan,QM4,2,120267
170,The Graduate School and University Center,Manhattan,QM5,2,325376
171,The Graduate School and University Center,Manhattan,QM6,2,167307
172,The Graduate School and University Center,Manhattan,QM63,1,30976
173,The Graduate School and University Center,Manhattan,QM64,1,14619
174,The Graduate School and University Center,Manhattan,QM68,1,24691
175,The Graduate School and University Center,Manhattan,SIM10,2,438147
176,The Graduate School and University Center,Manhattan,SIM11,3,189330
177,The Graduate School and University Center,Manhattan,SIM1C,1,1114532
178,The Graduate School and University Center,Manhattan,SIM23,5,92867
179,The Graduate School and University Center,Manhattan,SIM24,5,83788
180,The Graduate School and University Center,Manhattan,SIM3,1,182978
181,The Graduate School and University Center,Manhattan,SIM31,5,143118
182,The Graduate School and University Center,Manhattan,SIM33C,4,414111
183,The Graduate School and University Center,Manhattan,SIM3C,1,331816
184,The Graduate School and University Center,Manhattan,SIM4C,4,483559
185,The Graduate School and University Center,Manhattan,SIM6,3,329784
186,The Graduate School and University Center,Manhattan,X27,3,489211
187,The Graduate School and University Center,Manhattan,X28,3,489047
188,The Graduate School and University Center,Manhattan,X37,3,225056
189,The Graduate School and University Center,Manhattan,X38,3,197299
190,School of Professional Studies,Manhattan,M5,3,1731771
191,School of Professional Studies,Manhattan,M55,2,575794
192,School of Professional Studies,Manhattan,M7,2,2617369
193,School of Professional Studies,Manhattan,Q32,3,2408804
194,School of Public Health,Manhattan,BXM2,1,218578
195,School of Public Health,Manhattan,BXM3,1,221579
196,School of Public Health,Manhattan,BXM4,1,132194
197,School of Public Health,Manhattan,M1,2,2573060
198,School of Public Health,Manhattan,M101,3,4278914
199,School of Public Health,Manhattan,M102,4,2622408
200,School of Public Health,Manhattan,M125,3,1500176
201,School of Public Health,Manhattan,M60+,2,2298984
202,School of Public Health,Manhattan,M7,4,2617369
203,School of Journalism,Manhattan,BXM2,2,218578
204,School of Journalism,Manhattan,M104,2,1960370
205,School of Journalism,Manhattan,M20,4,487571
206,School of Journalism,Manhattan,M34A+,1,1485936
207,School of Journalism,Manhattan,M42,5,2524345
208,School of Journalism,Manhattan,M7,2,2617369
209,School of Journalism,Manhattan,SIM22,5,189516
210,School of Journalism,Manhattan,SIM25,5,200685
211,School of Journalism,Manhattan,SIM26,5,224142
212,School of Journalism,Manhattan,SIM30,5,163229
213,School of Journalism,Manhattan,SIM8,5,388314
